Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L1 - Northern Halo,0.8235,0,0.0344,0,0.143598743412669,0,2.7507,993.753,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.16452176439734,0.812078341200664,0.812078341200664
L1 - Northern Halo,0.8237,0,0.0464,0,0.156096430714584,0,2.7566,865.0564,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.1566414552558,0.812863700342215,0.812863700342215
L1 - Northern Halo,0.8242,0,0.0584,0,0.169158086652045,0,2.7634,724.4702,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.14709532908116,0.814141024302987,0.814141024302987
L1 - Northern Halo,0.825,0,0.0704,0,0.182361393259076,0,2.7707,584.3385,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.13606993102433,0.815892352268621,0.815892352268621
L1 - Northern Halo,0.826,0,0.0824,0,0.196259431687351,0,2.7778,454.2552,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.12346492500848,0.818010164557399,0.818010164557399
L1 - Northern Halo,0.8273,0,0.0944,0,0.209416398427261,0,2.7838,340.4499,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.10986901653568,0.820597299408585,0.820597299408585
L1 - Northern Halo,0.8289,0,0.1064,0,0.221533382134551,0,2.7872,245.8832,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.09555620625801,0.823650754824363,0.823650754824363
L1 - Northern Halo,0.8307,0,0.1184,0,0.233418759174297,0,2.7864,170.8261,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.08036106678881,0.827068137346968,0.827068137346968
L1 - Northern Halo,0.8329,0,0.1304,0,0.243484685783862,0,2.7785,113.673,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.06505000448107,0.831039974650489,0.831039974650489
L1 - Northern Halo,0.8355,0,0.1424,0,0.2527,0,2.7594,71.7704,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.0493184732377,0.835567294135302,0.835567294135302
L1 - Northern Halo,0.8389,0,0.1544,0,0.259943996685576,0,2.7215,42.1098,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.03365129953318,0.841043372371926,0.841043372371926
L1 - Northern Halo,0.8509,0,0.1765,0,0.262342439344485,0,2.5402,10.2024,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.00677036820558,0.856981349640077,0.856981349640077
L1 - Northern Halo,0.8629,0,0.1858,0,0.2504,0,2.3567,3.0145,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.9990029096663,0.870802047598616,0.870802047598616
